# Performance monitoring events for AMD Family 17h processors.
# See Section 2.1.15.4 of AMD's "Processor Programming Reference" (June 2019)

000.01 FpuPipeAssignment.Total0
000.02 FpuPipeAssignment.Total1
000.04 FpuPipeAssignment.Total2
000.08 FpuPipeAssignment.Total3
000.10 FpuPipeAssignment.Dual0
000.20 FpuPipeAssignment.Dual1
000.40 FpuPipeAssignment.Dual2
000.80 FpuPipeAssignment.Dual3
001.00 FpSchedEmpty
002.01 FpRetx87FpOps.AddSubOps
002.02 FpRetx87FpOps.MulOps
002.04 FpRetx87FpOps.DivSqrROps
003.01 FpRetSseAvxOps.SpAddSubFlops
003.02 FpRetSseAvxOps.SpMultFlops
003.04 FpRetSseAvxOps.SpDivFlops
003.08 FpRetSseAvxOps.SpMultAddFlops
003.10 FpRetSseAvxOps.DpAddSubFlops
003.20 FpRetSseAvxOps.DpMultFlops
003.40 FpRetSseAvxOps.DpDivFlops
003.80 FpRetSseAvxOps.DpMultAddFlops
004.01 FpNumMovElimScalOp.SseMovOps
004.02 FpNumMovElimScalOp.SseMovOpsElim
004.04 FpNumMovElimScalOp.OptPotential
004.08 FpNumMovElimScalOp.Optimized
005.01 FpRetiredSerOps.SseBotRet
005.02 FpRetiredSerOps.SseCtrlRet
005.04 FpRetiredSerOps.X87BotRet
005.08 FpRetiredSerOps.X87CtrlRet
025.00 LsLocks
026.00 LsRetClflush
027.00 LsRetCpuid
029.01 LsDispatch.LdDispatch
029.02 LsDispatch.StoreDispatch
029.04 LsDispatch.LdStDispatch
02B.00 LsSmiRx
02C.00 LsIntTaken
035.00 LsSTLF
037.01 LsStCommitCancel2.StCommitCancelWcbFull
040.00 LsDcAccesses
041.01 LsMabAlloc.Loads
041.02 LsMabAlloc.Stores
041.08 LsMabAlloc.DcPrefetcher
043.01 LsRefillsFromSys.MABRESP_LCL_L2
043.02 LsRefillsFromSys.LS_MABRESP_LCL_CACHE
043.08 LsRefillsFromSys.LS_MABRESP_LCL_DRAM
043.10 LsRefillsFromSys.LS_MABRESP_RMT_CACHE
043.40 LsRefillsFromSys.LS_MABRESP_RMT_DRAM
045.01 LsL1DTlbMiss.TlbReload4KL2Hit
045.02 LsL1DTlbMiss.TlbReload32KL2Hit
045.04 LsL1DTlbMiss.TlbReload2ML2Hit
045.08 LsL1DTlbMiss.TlbReload1GL2Hit
045.10 LsL1DTlbMiss.TlbReload4KL2Miss
045.20 LsL1DTlbMiss.TlbReload32KL2Miss
045.40 LsL1DTlbMiss.TlbReload2ML2Miss
045.80 LsL1DTlbMiss.TlbReload1GL2Miss
046.01 LsTablewalker.DcType0
046.02 LsTablewalker.DcType1
046.04 LsTablewalker.IcType0
046.08 LsTablewalker.IcType1
047.00 LsMisalAccesses
04B.00 LsPrefInstrDisp
052.01 LsInefSwPref.DataPipeSwPfDcHit
052.02 LsInefSwPref.MabMchCnt
059.01 LsSwPfDcFills.MABRESP_LCL_L2
059.02 LsSwPfDcFills.LS_MABRESP_LCL_CACHE
059.08 LsSwPfDcFills.LS_MABRESP_LCL_DRAM
059.10 LsSwPfDcFills.LS_MABRESP_RMT_CACHE
059.40 LsSwPfDcFills.LS_MABRESP_RMT_DRAM
05A.01 LsHwPfDcFills.MABRESP_LCL_L2
05A.02 LsHwPfDcFills.LS_MABRESP_LCL_CACHE
05A.08 LsHwPfDcFills.LS_MABRESP_LCL_DRAM
05A.10 LsHwPfDcFills.LS_MABRESP_RMT_CACHE
05A.40 LsHwPfDcFills.LS_MABRESP_RMT_DRAM
05B.01 LsTwDcFills.MABRESP_LCL_L2
05B.02 LsTwDcFills.LS_MABRESP_LCL_CACHE
05B.08 LsTwDcFills.LS_MABRESP_LCL_DRAM
05B.10 LsTwDcFills.LS_MABRESP_RMT_CACHE
05B.40 LsTwDcFills.LS_MABRESP_RMT_DRAM
076.00 LsNotHaltedCyc
078.00 LsTlbFlush
080.00 IcFw32
081.00 IcFw32Miss
082.00 IcCacheFillL2
083.00 IcCacheFillSys
084.00 BpL1TlbMissL2Hit
085.00 BpL1TlbMissL2Miss
08A.00 BpL1BTBCorrect
08B.00 BpL2BTBCorrect
08C.01 IcCacheInval.FillInvalidated
08C.02 IcCacheInval.L2InvalidatingProbe
08E.00 BpDynIndPred
091.00 BpDeReDirect
099.00 BpTlbRel
