# Performance monitoring events for processors based on the Westmere microarchitecture.
# Applies to processors with DisplayFamily_DisplayModel of 06_25H and 06_2CH.
# See Table 19-22 of Intel's "System Programming Guide" (Jan. 2019)

03.02 LOAD_BLOCK.OVERLAP_STORE
04.07 SB_DRAIN.ANY
05.02 MISALIGN_MEMORY.STORE
06.04 STORE_BLOCKS.AT_RET
06.08 STORE_BLOCKS.L1D_BLOCK
07.01 PARTIAL_ADDRESS_ALIAS
08.01 DTLB_LOAD_MISSES.ANY
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED
08.04 DTLB_LOAD_MISSES.WALK_CYCLES
08.10 DTLB_LOAD_MISSES.STLB_HIT
08.20 DTLB_LOAD_MISSES.PDE_MISS
0B.01 MEM_INST_RETIRED.LOADS
0B.02 MEM_INST_RETIRED.STORES
0B.10 MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD
0C.01 MEM_STORE_RETIRED.DTLB_MISS
0E.01 UOPS_ISSUED.ANY
0E.01.CMSK=1.INV UOPS_ISSUED.STALLED_CYCLES
0E.02 UOPS_ISSUED.FUSED
0F.01 MEM_UNCORE_RETIRED.UNKNOWN_SOURCE
0F.02 MEM_UNCORE_RETIRED.OHTER_CORE_L2_HIT
0F.04 MEM_UNCORE_RETIRED.REMOTE_HITM
0F.08 MEM_UNCORE_RETIRED.LOCAL_DRAM_AND_REMOTE_CACH
0F.10 MEM_UNCORE_RETIRED.REMOTE_DRAM
0F.20 MEM_UNCORE_RETIRED.OTHER_LLC_MISS
0F.80 MEM_UNCORE_RETIRED.UNCACHEABLE
10.01 FP_COMP_OPS_EXE.X87
10.02 FP_COMP_OPS_EXE.MMX
10.04 FP_COMP_OPS_EXE.SSE_FP
10.08 FP_COMP_OPS_EXE.SSE2_INTEGER
10.10 FP_COMP_OPS_EXE.SSE_FP_PACKED
10.20 FP_COMP_OPS_EXE.SSE_FP_SCALAR
10.40 FP_COMP_OPS_EXE.SSE_SINGLE_PRECISION
10.80 FP_COMP_OPS_EXE.SSE_DOUBLE_PRECISION
12.01 SIMD_INT_128.PACKED_MPY
12.02 SIMD_INT_128.PACKED_SHIFT
12.04 SIMD_INT_128.PACK
12.08 SIMD_INT_128.UNPACK
12.10 SIMD_INT_128.PACKED_LOGICAL
12.20 SIMD_INT_128.PACKED_ARITH
12.40 SIMD_INT_128.SHUFFLE_MOVE
13.01 LOAD_DISPATCH.RS
13.02 LOAD_DISPATCH.RS_DELAYED
13.04 LOAD_DISPATCH.MOB
13.07 LOAD_DISPATCH.ANY
14.01 ARITH.CYCLES_DIV_BUSY
14.02 ARITH.MUL
17.01 INST_QUEUE_WRITES
18.01 INST_DECODED.DEC0
19.01 TWO_UOP_INSTS_DECODED
1E.01 INST_QUEUE_WRITE_CYCLES
20.01 LSD_OVERFLOW
24.01 L2_RQSTS.LD_HIT
24.02 L2_RQSTS.LD_MISS
24.03 L2_RQSTS.LOADS
24.04 L2_RQSTS.RFO_HIT
24.08 L2_RQSTS.RFO_MISS
24.0C L2_RQSTS.RFOS
24.10 L2_RQSTS.IFETCH_HIT
24.20 L2_RQSTS.IFETCH_MISS
24.30 L2_RQSTS.IFETCHES
24.40 L2_RQSTS.PREFETCH_HIT
24.80 L2_RQSTS.PREFETCH_MISS
24.C0 L2_RQSTS.PREFETCHES
24.AA L2_RQSTS.MISS
24.FF L2_RQSTS.REFERENCES
26.01 L2_DATA_RQSTS.DEMAND.I_STATE
26.02 L2_DATA_RQSTS.DEMAND.S_STATE
26.04 L2_DATA_RQSTS.DEMAND.E_STATE
26.08 L2_DATA_RQSTS.DEMAND.M_STATE
26.0F L2_DATA_RQSTS.DEMAND.MESI
26.10 L2_DATA_RQSTS.PREFETCH.I_STATE
26.20 L2_DATA_RQSTS.PREFETCH.S_STATE
26.40 L2_DATA_RQSTS.PREFETCH.E_STATE
26.80 L2_DATA_RQSTS.PREFETCH.M_STATE
26.F0 L2_DATA_RQSTS.PREFETCH.MESI
26.FF L2_DATA_RQSTS.ANY
27.01 L2_WRITE.RFO.I_STATE
27.02 L2_WRITE.RFO.S_STATE
27.08 L2_WRITE.RFO.M_STATE
27.0E L2_WRITE.RFO.HIT
27.0F L2_WRITE.RFO.MESI
27.10 L2_WRITE.LOCK.I_STATE
27.20 L2_WRITE.LOCK.S_STATE
27.40 L2_WRITE.LOCK.E_STATE
27.80 L2_WRITE.LOCK.M_STATE
27.E0 L2_WRITE.LOCK.HIT
27.F0 L2_WRITE.LOCK.MESI
28.01 L1D_WB_L2.I_STATE
28.02 L1D_WB_L2.S_STATE
28.04 L1D_WB_L2.E_STATE
28.08 L1D_WB_L2.M_STATE
28.0F L1D_WB_L2.MESI
2E.41 L3_LAT_CACHE.MISS
2E.4F L3_LAT_CACHE.REFERENCE
3C.00 CPU_CLK_UNHALTED.THREAD_P
3C.01 CPU_CLK_UNHALTED.REF_P
49.01 DTLB_MISSES.ANY
49.02 DTLB_MISSES.WALK_COMPLETED
49.04 DTLB_MISSES.WALK_CYCLES
49.10 DTLB_MISSES.STLB_HIT
49.20 DTLB_MISSES.PDE_MISS
49.80 DTLB_MISSES.LARGE_WALK_COMPLETED
4C.01.CTR=0 LOAD_HIT_PRE
4E.01.CTR=0 L1D_PREFETCH.REQUESTS
4E.02.CTR=0 L1D_PREFETCH.MISS
4E.04.CTR=0 L1D_PREFETCH.TRIGGERS
4F.10 EPT.WALK_CYCLES
51.01.CTR=0 L1D.REPL
51.02.CTR=0 L1D.M_REPL
