# Based on https://download.01.org/perfmon/EHL/elkhartlake_core_v1.02.json
# Applies to processors with family-model in {6-96}

# Counts the number of page walks completed due to load DTLB misses to a 4K page.
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED_4K

# Counts the number of page walks completed due to load DTLB misses to a 2M or 4M page.
08.04 DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M

# Counts the number of page walks completed due to load DTLB misses to any page size.
08.0E DTLB_LOAD_MISSES.WALK_COMPLETED

# Counts the number of page walks outstanding in the page miss handler (PMH) for loads every cycle.
08.10 DTLB_LOAD_MISSES.WALK_PENDING

# Counts the number of first level TLB misses but second level hits due to loads that did not start a page walk. Account for all pages sizes. Will result in a DTLB write from STLB.
08.20 DTLB_LOAD_MISSES.STLB_HIT

# Counts the number of page walks due to loads that miss the PDE (Page Directory Entry) cache.
08.80 DTLB_LOAD_MISSES.PDE_CACHE_MISS

# Counts the number of cacheable memory requests that miss in the LLC. Counts on a per core basis.
2E.41 LONGEST_LAT_CACHE.MISS

# Counts the number of cacheable memory requests that access the LLC. Counts on a per core basis.
2E.4F LONGEST_LAT_CACHE.REFERENCE

# This event is deprecated. Refer to new event MEM_BOUND_STALLS.LOAD_L2_HIT
34.01 C0_STALLS.LOAD_L2_HIT

# Counts the number of cycles the core is stalled due to a demand load which hit in the L2 cache.
34.01 MEM_BOUND_STALLS.LOAD_L2_HIT

# This event is deprecated. Refer to new event MEM_BOUND_STALLS.LOAD_LLC_HIT
34.02 C0_STALLS.LOAD_LLC_HIT

# Counts the number of cycles the core is stalled due to a demand load which hit in the LLC or other core with HITE/F/M.
34.02 MEM_BOUND_STALLS.LOAD_LLC_HIT

# This event is deprecated. Refer to new event MEM_BOUND_STALLS.LOAD_DRAM_HIT
34.04 C0_STALLS.LOAD_DRAM_HIT

# Counts the number of cycles the core is stalled due to a demand load miss which hit in DRAM or MMIO (Non-DRAM).
34.04 MEM_BOUND_STALLS.LOAD_DRAM_HIT

# Counts the number of cycles the core is stalled due to an instruction cache or TLB miss which hit in the L2 cache.
34.08 MEM_BOUND_STALLS.IFETCH_L2_HIT

# Counts the number of cycles the core is stalled due to an instruction cache or TLB miss which hit in the LLC or other core with HITE/F/M.
34.10 MEM_BOUND_STALLS.IFETCH_LLC_HIT

# Counts the number of cycles the core is stalled due to an instruction cache or TLB miss which hit in DRAM or MMIO (Non-DRAM).
34.20 MEM_BOUND_STALLS.IFETCH_DRAM_HIT

# Counts the number of cycles a core is stalled due to a store buffer being full.
34.40 MEM_BOUND_STALLS.STORE_BUFFER_FULL

# Counts the number of unhalted core clock cycles.
3C.00 CPU_CLK_UNHALTED.CORE_P

# Counts the number of unhalted reference clock cycles at TSC frequency.
3C.01 CPU_CLK_UNHALTED.REF

# Counts the number of unhalted reference clock cycles at TSC frequency.
3C.01 CPU_CLK_UNHALTED.REF_TSC_P

# Counts the number of page walks completed due to store DTLB misses to a 4K page.
49.02 DTLB_STORE_MISSES.WALK_COMPLETED_4K

# Counts the number of page walks completed due to store DTLB misses to a 2M or 4M page.
49.04 DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M

# Counts the number of page walks outstanding in the page miss handler (PMH) for stores every cycle.
49.10 DTLB_STORE_MISSES.WALK_PENDING

# Counts the number of page walks due to stores that miss the PDE (Page Directory Entry) cache.
49.80 DTLB_STORE_MISSES.PDE_CACHE_MISS

# Counts the number of Extended Page Directory Entry misses.
4F.01 EPT.EPDE_MISS

# Counts the number of Extended Page Directory Entry hits.
4F.02 EPT.EPDE_HIT

# Counts the number of Extended Page Directory Pointer Entry hits.
4F.04 EPT.EPDPE_HIT

# Counts the number of Extended Page Directory Pointer Entry misses.
4F.08 EPT.EPDPE_MISS

# Counts the number of first level data cacheline (dirty) evictions caused by misses, stores, and prefetches.
51.01 DL1.DIRTY_EVICTION

# This event is deprecated. Refer to new event BUS_LOCK.SELF_LOCKS
63.00.EDG BUS_LOCK.ALL

# Counts the number of bus locks a core issued its self (e.g. lock to UC or Split Lock) and does not include cache locks.
63.00.EDG BUS_LOCK.SELF_LOCKS

# This event is deprecated. Refer to new event BUS_LOCK.LOCK_CYCLES
63.01 BUS_LOCK.CYCLES_SELF_BLOCK

# Counts the number of unhalted cycles a core is blocked due to an accepted lock it issued.
63.01 BUS_LOCK.LOCK_CYCLES

# Counts the number of unhalted cycles a core is blocked due to an accepted lock issued by other cores.
63.02 BUS_LOCK.BLOCK_CYCLES

# This event is deprecated. Refer to new event BUS_LOCK.BLOCK_CYCLES
63.02 BUS_LOCK.CYCLES_OTHER_BLOCK

# Counts the number of issue slots every cycle that were not consumed by the backend due to frontend stalls.
71.00 TOPDOWN_FE_BOUND.ALL

# Counts the number of issue slots every cycle that were not delivered by the frontend due to the microcode sequencer (MS).
71.01 TOPDOWN_FE_BOUND.CISC

# Counts the number of issue slots every cycle that were not delivered by the frontend due to BACLEARS.
71.02 TOPDOWN_FE_BOUND.BRANCH_DETECT

# Counts the number of issue slots every cycle that were not delivered by the frontend due to wrong predecodes.
71.04 TOPDOWN_FE_BOUND.PREDECODE

# Counts the number of issue slots every cycle that were not delivered by the frontend due to decode stalls.
