# Based on https://download.01.org/perfmon/KNL/KnightsLanding_core_V9.json
# Applies to processors with family-model in {6-57}

# Counts the number of occurences a retired load gets blocked because its address partially overlaps with a store 
03.01 RECYCLEQ.LD_BLOCK_ST_FORWARD

# Counts the number of occurences a retired load gets blocked because its address overlaps with a store whose data is not ready
03.02 RECYCLEQ.LD_BLOCK_STD_NOTREADY

# Counts the number of occurences a retired store that is a cache line split. Each split should be counted only once.
03.04 RECYCLEQ.ST_SPLITS

# Counts the number of occurences a retired load that is a cache line split. Each split should be counted only once.
03.08 RECYCLEQ.LD_SPLITS

# Counts all the retired locked loads. It does not include stores because we would double count if we count stores
03.10 RECYCLEQ.LOCK

# Counts the store micro-ops retired that were pushed in the rehad queue because the store address buffer is full
03.20 RECYCLEQ.STA_FULL

# Counts any retired load that was pushed into the recycle queue for any reason.
03.40 RECYCLEQ.ANY_LD

# Counts any retired store that was pushed into the recycle queue for any reason.
03.80 RECYCLEQ.ANY_ST

# Counts the number of load micro-ops retired that miss in L1 D cache
04.01 MEM_UOPS_RETIRED.L1_MISS_LOADS

# Counts the number of load micro-ops retired that hit in the L2
04.02 MEM_UOPS_RETIRED.L2_HIT_LOADS

# Counts the number of load micro-ops retired that miss in the L2
04.04 MEM_UOPS_RETIRED.L2_MISS_LOADS

# Counts the number of load micro-ops retired that cause a DTLB miss
04.08 MEM_UOPS_RETIRED.DTLB_MISS_LOADS

# Counts the number of load micro-ops retired that caused micro TLB miss
04.10 MEM_UOPS_RETIRED.UTLB_MISS_LOADS

# Counts the loads retired that get the data from the other core in the same tile in M state
04.20 MEM_UOPS_RETIRED.HITM

# Counts all the load micro-ops retired
04.40 MEM_UOPS_RETIRED.ALL_LOADS

# Counts all the store micro-ops retired
04.80 MEM_UOPS_RETIRED.ALL_STORES

# Counts the total number of core cycles for all the D-side page walks. The cycles for page walks started in speculative path will also be included.
05.01 PAGE_WALKS.D_SIDE_CYCLES

# Counts the total D-side page walks that are completed or started. The page walks started in the speculative path will also be counted
05.01.EDG PAGE_WALKS.D_SIDE_WALKS

# Counts the total number of core cycles for all the I-side page walks. The cycles for page walks started in speculative path will also be included.
05.02 PAGE_WALKS.I_SIDE_CYCLES

# Counts the total I-side page walks that are completed.
05.02.EDG PAGE_WALKS.I_SIDE_WALKS

# Counts the total number of core cycles for all the page walks. The cycles for page walks started in speculative path will also be included.
05.03 PAGE_WALKS.CYCLES

# Counts the total page walks that are completed (I-side and D-side)
05.03.EDG PAGE_WALKS.WALKS

# Counts the number of L2 cache misses
2E.41 L2_REQUESTS.MISS

