# Based on https://download.01.org/perfmon/BDW/broadwell_core_v26.json
# Applies to processors with family-model in {6-3D, 6-47}

# Cases when loads get true Block-on-Store blocking code preventing store forwarding
03.02 LD_BLOCKS.STORE_FORWARD

# This event counts the number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use.
03.08 LD_BLOCKS.NO_SR

# Speculative cache line split load uops dispatched to L1 cache
05.01 MISALIGN_MEM_REF.LOADS

# Speculative cache line split STA uops dispatched to L1 cache
05.02 MISALIGN_MEM_REF.STORES

# False dependencies in MOB due to partial compare
07.01 LD_BLOCKS_PARTIAL.ADDRESS_ALIAS

# Load misses in all DTLB levels that cause page walks
08.01 DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK

# Demand load Miss in all translation lookaside buffer (TLB) levels causes a page walk that completes (4K).
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED_4K

# Demand load Miss in all translation lookaside buffer (TLB) levels causes a page walk that completes (2M/4M).
08.04 DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M

# Load miss in all TLB levels causes a page walk that completes. (1G)
08.08 DTLB_LOAD_MISSES.WALK_COMPLETED_1G

# Demand load Miss in all translation lookaside buffer (TLB) levels causes a page walk that completes of any page size.
08.0E DTLB_LOAD_MISSES.WALK_COMPLETED

# Cycles when PMH is busy with page walks
08.10 DTLB_LOAD_MISSES.WALK_DURATION

# Load misses that miss the  DTLB and hit the STLB (4K).
08.20 DTLB_LOAD_MISSES.STLB_HIT_4K

# Load misses that miss the  DTLB and hit the STLB (2M).
08.40 DTLB_LOAD_MISSES.STLB_HIT_2M

# Load operations that miss the first DTLB level but hit the second and do not cause page walks.
08.60 DTLB_LOAD_MISSES.STLB_HIT

# Core cycles the allocator was stalled due to recovery from earlier clear event for this thread (e.g. misprediction or memory nuke)
0D.03.CMSK=1 INT_MISC.RECOVERY_CYCLES

# Core cycles the allocator was stalled due to recovery from earlier clear event for any thread running on the physical core (e.g. misprediction or memory nuke).
0D.03.CMSK=1.AnyT INT_MISC.RECOVERY_CYCLES_ANY

# Cycles when Resource Allocation Table (RAT) external stall is sent to Instruction Decode Queue (IDQ) for the thread
0D.08 INT_MISC.RAT_STALL_CYCLES

# Uops that Resource Allocation Table (RAT) issues to Reservation Station (RS)
0E.01 UOPS_ISSUED.ANY

# Cycles when Resource Allocation Table (RAT) does not issue Uops to Reservation Station (RS) for the thread
0E.01.CMSK=1.INV UOPS_ISSUED.STALL_CYCLES

# Number of flags-merge uops being allocated. Such uops considered perf sensitive; added by GSR u-arch.
0E.10 UOPS_ISSUED.FLAGS_MERGE

# Number of slow LEA uops being allocated. A uop is generally considered SlowLea if it has 3 sources (e.g. 2 sources + immediate) regardless if as a result of LEA instruction or not.
0E.20 UOPS_ISSUED.SLOW_LEA

# Number of Multiply packed/scalar single precision uops allocated.
0E.40 UOPS_ISSUED.SINGLE_MUL

# Cycles when divider is busy executing divide operations
14.01 ARITH.FPU_DIV_ACTIVE

# Demand Data Read miss L2, no rejects
24.21 L2_RQSTS.DEMAND_DATA_RD_MISS

# RFO requests that miss L2 cache.
24.22 L2_RQSTS.RFO_MISS

# L2 cache misses when fetching instructions.
24.24 L2_RQSTS.CODE_RD_MISS

# Demand requests that miss L2 cache.
24.27 L2_RQSTS.ALL_DEMAND_MISS

# L2 prefetch requests that miss L2 cache
24.30 L2_RQSTS.L2_PF_MISS

# All requests that miss L2 cache.
24.3F L2_RQSTS.MISS

# Demand Data Read requests that hit L2 cache
24.C1 L2_RQSTS.DEMAND_DATA_RD_HIT

# RFO requests that hit L2 cache.
24.C2 L2_RQSTS.RFO_HIT

# L2 cache hits when fetching instructions, code reads.
24.C4 L2_RQSTS.CODE_RD_HIT

# L2 prefetch requests that hit L2 cache
24.D0 L2_RQSTS.L2_PF_HIT

# Demand Data Read requests
24.E1 L2_RQSTS.ALL_DEMAND_DATA_RD

# RFO requests to L2 cache
24.E2 L2_RQSTS.ALL_RFO

# L2 code requests
24.E4 L2_RQSTS.ALL_CODE_RD

# Demand requests to L2 cache.
24.E7 L2_RQSTS.ALL_DEMAND_REFERENCES

# Requests from L2 hardware prefetchers
24.F8 L2_RQSTS.ALL_PF

# All L2 requests.
24.FF L2_RQSTS.REFERENCES

# Not rejected writebacks that hit L2 cache
27.50 L2_DEMAND_RQSTS.WB_HIT

# Core-originated cacheable demand requests missed L3
2E.41 LONGEST_LAT_CACHE.MISS

# Core-originated cacheable demand requests that refer to L3
2E.4F LONGEST_LAT_CACHE.REFERENCE

# Thread cycles when thread is not in halt state
3C.00 CPU_CLK_UNHALTED.THREAD_P

# Core cycles when at least one thread on the physical core is not in halt state.
3C.00.AnyT CPU_CLK_UNHALTED.THREAD_P_ANY

# Reference cycles when the thread is unhalted (counts at 100 MHz rate)
3C.01 CPU_CLK_THREAD_UNHALTED.REF_XCLK

# Reference cycles when the thread is unhalted (counts at 100 MHz rate)
3C.01 CPU_CLK_UNHALTED.REF_XCLK

# Reference cycles when the at least one thread on the physical core is unhalted (counts at 100 MHz rate).
3C.01.AnyT CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY

# Reference cycles when the at least one thread on the physical core is unhalted (counts at 100 MHz rate).
3C.01.AnyT CPU_CLK_UNHALTED.REF_XCLK_ANY

# Count XClk pulses when this thread is unhalted and the other thread is halted.
3C.02 CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE

# Count XClk pulses when this thread is unhalted and the other thread is halted.
3C.02 CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE

# Cycles with L1D load Misses outstanding from any thread on physical core.
48.01.CMSK=1.AnyT.CTR=2 L1D_PEND_MISS.PENDING_CYCLES_ANY

# Cycles with L1D load Misses outstanding.
48.01.CMSK=1.CTR=2 L1D_PEND_MISS.PENDING_CYCLES

# L1D miss oustandings duration in cycles
48.01.CTR=2 L1D_PEND_MISS.PENDING

# Cycles a demand request was blocked due to Fill Buffers inavailability.
48.02.CMSK=1 L1D_PEND_MISS.FB_FULL

# Store misses in all DTLB levels that cause page walks
49.01 DTLB_STORE_MISSES.MISS_CAUSES_A_WALK

# Store miss in all TLB levels causes a page walk that completes. (4K)
49.02 DTLB_STORE_MISSES.WALK_COMPLETED_4K

# Store misses in all DTLB levels that cause completed page walks (2M/4M)
49.04 DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M

# Store misses in all DTLB levels that cause completed page walks (1G)
49.08 DTLB_STORE_MISSES.WALK_COMPLETED_1G

# Store misses in all DTLB levels that cause completed page walks.
49.0E DTLB_STORE_MISSES.WALK_COMPLETED

# Cycles when PMH is busy with page walks
49.10 DTLB_STORE_MISSES.WALK_DURATION

# Store misses that miss the  DTLB and hit the STLB (4K).
49.20 DTLB_STORE_MISSES.STLB_HIT_4K

# Store misses that miss the  DTLB and hit the STLB (2M).
49.40 DTLB_STORE_MISSES.STLB_HIT_2M

# Store operations that miss the first TLB level but hit the second and do not cause page walks.
