# Based on https://download.01.org/perfmon/SKL/skylake_core_v52.json
# Applies to processors with family-model in {6-4E, 6-5E, 6-8E, 6-9E, 6-A5, 6-A6}

# Loads blocked due to overlapping with a preceding store that cannot be forwarded.
03.02 LD_BLOCKS.STORE_FORWARD

# The number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use
03.08 LD_BLOCKS.NO_SR

# False dependencies in MOB due to partial compare on address.
07.01 LD_BLOCKS_PARTIAL.ADDRESS_ALIAS

# Load misses in all DTLB levels that cause page walks
08.01 DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK

# Page walk completed due to a demand data load to a 4K page
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED_4K

# Page walk completed due to a demand data load to a 2M/4M page
08.04 DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M

# Page walk completed due to a demand data load to a 1G page
08.08 DTLB_LOAD_MISSES.WALK_COMPLETED_1G

# Load miss in all TLB levels causes a page walk that completes. (All page sizes)
08.0E DTLB_LOAD_MISSES.WALK_COMPLETED

# Counts 1 per cycle for each PMH that is busy with a page walk for a load. EPT page walk duration are excluded in Skylake.
08.10 DTLB_LOAD_MISSES.WALK_PENDING

# Cycles when at least one PMH is busy with a page walk for a load. EPT page walk duration are excluded in Skylake.
08.10.CMSK=1 DTLB_LOAD_MISSES.WALK_ACTIVE

# Loads that miss the DTLB and hit the STLB.
08.20 DTLB_LOAD_MISSES.STLB_HIT

# tbd
09.01 MEMORY_DISAMBIGUATION.HISTORY_RESET

# Core cycles the allocator was stalled due to recovery from earlier clear event for this thread (e.g. misprediction or memory nuke)
0D.01 INT_MISC.RECOVERY_CYCLES

# Core cycles the allocator was stalled due to recovery from earlier clear event for any thread running on the physical core (e.g. misprediction or memory nuke).
0D.01.AnyT INT_MISC.RECOVERY_CYCLES_ANY

# Cycles the issue-stage is waiting for front-end to fetch from resteered path following branch misprediction or machine clear events.
0D.80 INT_MISC.CLEAR_RESTEER_CYCLES

# Uops that Resource Allocation Table (RAT) issues to Reservation Station (RS)
0E.01 UOPS_ISSUED.ANY

# Cycles when Resource Allocation Table (RAT) does not issue Uops to Reservation Station (RS) for the thread
0E.01.CMSK=1.INV UOPS_ISSUED.STALL_CYCLES

# Uops inserted at issue-stage in order to preserve upper bits of vector registers.
0E.02 UOPS_ISSUED.VECTOR_WIDTH_MISMATCH

# Number of slow LEA uops being allocated. A uop is generally considered SlowLea if it has 3 sources (e.g. 2 sources + immediate) regardless if as a result of LEA instruction or not.
0E.20 UOPS_ISSUED.SLOW_LEA

# Cycles when divide unit is busy executing divide or square root operations. Accounts for integer and floating-point operations.
14.01.CMSK=1 ARITH.DIVIDER_ACTIVE

# Demand Data Read miss L2, no rejects
24.21 L2_RQSTS.DEMAND_DATA_RD_MISS

# RFO requests that miss L2 cache
24.22 L2_RQSTS.RFO_MISS

# L2 cache misses when fetching instructions
24.24 L2_RQSTS.CODE_RD_MISS

# Demand requests that miss L2 cache
24.27 L2_RQSTS.ALL_DEMAND_MISS

# Requests from the L1/L2/L3 hardware prefetchers or Load software prefetches that miss L2 cache
24.38 L2_RQSTS.PF_MISS

# All requests that miss L2 cache
24.3F L2_RQSTS.MISS

# Demand Data Read requests that hit L2 cache
24.C1 L2_RQSTS.DEMAND_DATA_RD_HIT

# RFO requests that hit L2 cache
24.C2 L2_RQSTS.RFO_HIT

# L2 cache hits when fetching instructions, code reads.
24.C4 L2_RQSTS.CODE_RD_HIT

# Requests from the L1/L2/L3 hardware prefetchers or Load software prefetches that hit L2 cache
24.D8 L2_RQSTS.PF_HIT

# Demand Data Read requests
24.E1 L2_RQSTS.ALL_DEMAND_DATA_RD

# RFO requests to L2 cache
24.E2 L2_RQSTS.ALL_RFO

# L2 code requests
24.E4 L2_RQSTS.ALL_CODE_RD

# Demand requests to L2 cache
24.E7 L2_RQSTS.ALL_DEMAND_REFERENCES

# Requests from the L1/L2/L3 hardware prefetchers or Load software prefetches
24.F8 L2_RQSTS.ALL_PF

# All L2 requests
24.FF L2_RQSTS.REFERENCES

# Core-originated cacheable demand requests missed L3
2E.41 LONGEST_LAT_CACHE.MISS

# Core-originated cacheable demand requests that refer to L3
2E.4F LONGEST_LAT_CACHE.REFERENCE

# Number of PREFETCHNTA instructions executed.
32.01 SW_PREFETCH_ACCESS.NTA

# Number of PREFETCHT0 instructions executed.
32.02 SW_PREFETCH_ACCESS.T0

# Number of PREFETCHT1 or PREFETCHT2 instructions executed.
32.04 SW_PREFETCH_ACCESS.T1_T2

# Number of PREFETCHW instructions executed.
32.08 SW_PREFETCH_ACCESS.PREFETCHW

# Thread cycles when thread is not in halt state
3C.00 CPU_CLK_UNHALTED.THREAD_P

# Core cycles when at least one thread on the physical core is not in halt state.
3C.00.AnyT CPU_CLK_UNHALTED.THREAD_P_ANY

# Counts when there is a transition from ring 1, 2 or 3 to ring 0.
3C.00.CMSK=1.EDG CPU_CLK_UNHALTED.RING0_TRANS

# Core crystal clock cycles when the thread is unhalted.
3C.01 CPU_CLK_THREAD_UNHALTED.REF_XCLK

# Core crystal clock cycles when the thread is unhalted.
3C.01 CPU_CLK_UNHALTED.REF_XCLK

# Core crystal clock cycles when at least one thread on the physical core is unhalted.
3C.01.AnyT CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY

# Core crystal clock cycles when at least one thread on the physical core is unhalted.
3C.01.AnyT CPU_CLK_UNHALTED.REF_XCLK_ANY

# Core crystal clock cycles when this thread is unhalted and the other thread is halted.
3C.02 CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE

# Core crystal clock cycles when this thread is unhalted and the other thread is halted.
3C.02 CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE

# L1D miss outstandings duration in cycles
48.01 L1D_PEND_MISS.PENDING

# Cycles with L1D load Misses outstanding.
48.01.CMSK=1 L1D_PEND_MISS.PENDING_CYCLES

# Cycles with L1D load Misses outstanding from any thread on physical core.
48.01.CMSK=1.AnyT L1D_PEND_MISS.PENDING_CYCLES_ANY

# Number of times a request needed a FB entry but there was no entry available for it. That is the FB unavailability was dominant reason for blocking the request. A request includes cacheable/uncacheable demands that is load, store or SW prefetch.
48.02 L1D_PEND_MISS.FB_FULL

# Store misses in all DTLB levels that cause page walks
49.01 DTLB_STORE_MISSES.MISS_CAUSES_A_WALK

# Page walk completed due to a demand data store to a 4K page
49.02 DTLB_STORE_MISSES.WALK_COMPLETED_4K

# Page walk completed due to a demand data store to a 2M/4M page
49.04 DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M

# Page walk completed due to a demand data store to a 1G page
49.08 DTLB_STORE_MISSES.WALK_COMPLETED_1G

# Store misses in all TLB levels causes a page walk that completes. (All page sizes)
49.0E DTLB_STORE_MISSES.WALK_COMPLETED

# Counts 1 per cycle for each PMH that is busy with a page walk for a store. EPT page walk duration are excluded in Skylake.
49.10 DTLB_STORE_MISSES.WALK_PENDING

# Cycles when at least one PMH is busy with a page walk for a store. EPT page walk duration are excluded in Skylake.
49.10.CMSK=1 DTLB_STORE_MISSES.WALK_ACTIVE

# Stores that miss the DTLB and hit the STLB.
49.20 DTLB_STORE_MISSES.STLB_HIT

# Demand load dispatches that hit L1D fill buffer (FB) allocated for software prefetch.
4C.01 LOAD_HIT_PRE.SW_PF

# Counts 1 per cycle for each PMH that is busy with a EPT (Extended Page Table) walk for any request type.
4F.10 EPT.WALK_PENDING

# L1D data line replacements
51.01 L1D.REPLACEMENT

# Number of times a transactional abort was signaled due to a data conflict on a transactionally accessed address
54.01 TX_MEM.ABORT_CONFLICT

# Number of times a transactional abort was signaled due to a data capacity limitation for transactional reads or writes.
54.02 TX_MEM.ABORT_CAPACITY

# Number of times a HLE transactional region aborted due to a non XRELEASE prefixed instruction writing to an elided lock in the elision buffer
54.04 TX_MEM.ABORT_HLE_STORE_TO_ELIDED_LOCK

