# Based on https://download.01.org/perfmon/BNL/Bonnell_core_V4.json
# Applies to processors with family-model in {6-1C, 6-26, 6-27, 6-36, 6-35}

# Good store forwards
02.81 STORE_FORWARDS.GOOD

# All store forwards
02.83 STORE_FORWARDS.ANY

# Micro-op reissues on a store-load collision
03.01 REISSUE.OVERLAP_STORE

# Micro-op reissues for any cause
03.7F REISSUE.ANY

# Micro-op reissues on a store-load collision (At Retirement)
03.81 REISSUE.OVERLAP_STORE.AR

# Micro-op reissues for any cause (At Retirement)
03.FF REISSUE.ANY.AR

# Load splits
05.09 MISALIGN_MEM_REF.LD_SPLIT

# Store splits
05.0A MISALIGN_MEM_REF.ST_SPLIT

# Memory references that cross an 8-byte boundary.
05.0F MISALIGN_MEM_REF.SPLIT

# Load splits (At Retirement)
05.89 MISALIGN_MEM_REF.LD_SPLIT.AR

# Store splits (Ar Retirement)
05.8A MISALIGN_MEM_REF.ST_SPLIT.AR

# ld-op-st splits
05.8C MISALIGN_MEM_REF.RMW_SPLIT

# Memory references that cross an 8-byte boundary (At Retirement)
05.8F MISALIGN_MEM_REF.SPLIT.AR

# Nonzero segbase load 1 bubble
05.91 MISALIGN_MEM_REF.LD_BUBBLE

# Nonzero segbase store 1 bubble
05.92 MISALIGN_MEM_REF.ST_BUBBLE

# Nonzero segbase ld-op-st 1 bubble
05.94 MISALIGN_MEM_REF.RMW_BUBBLE

# Nonzero segbase 1 bubble
05.97 MISALIGN_MEM_REF.BUBBLE

# Number of segment register loads.
06.80 SEGMENT_REG_LOADS.ANY

# Any Software prefetch
07.0F PREFETCH.SOFTWARE_PREFETCH

# L1 hardware prefetch request
07.10 PREFETCH.HW_PREFETCH

# Streaming SIMD Extensions (SSE) PrefetchT0 instructions executed.
07.81 PREFETCH.PREFETCHT0

# Streaming SIMD Extensions (SSE) PrefetchT1 instructions executed.
07.82 PREFETCH.PREFETCHT1

# Streaming SIMD Extensions (SSE) PrefetchT2 instructions executed.
07.84 PREFETCH.PREFETCHT2

# Streaming SIMD Extensions (SSE) PrefetchT1 and PrefetchT2 instructions executed
07.86 PREFETCH.SW_L2

# Streaming SIMD Extensions (SSE) Prefetch NTA instructions executed
07.88 PREFETCH.PREFETCHNTA

# Any Software prefetch
07.8F PREFETCH.SOFTWARE_PREFETCH.AR

# DTLB misses due to load operations.
08.05 DATA_TLB_MISSES.DTLB_MISS_LD

# DTLB misses due to store operations.
08.06 DATA_TLB_MISSES.DTLB_MISS_ST

# Memory accesses that missed the DTLB.
08.07 DATA_TLB_MISSES.DTLB_MISS

# L0 DTLB misses due to load operations.
08.09 DATA_TLB_MISSES.L0_DTLB_MISS_LD

# L0 DTLB misses due to store operations
08.0A DATA_TLB_MISSES.L0_DTLB_MISS_ST

# Memory cluster signals to block micro-op dispatch for any reason
09.20 DISPATCH_BLOCKED.ANY

# Duration of D-side only page walks
0C.01 PAGE_WALKS.D_SIDE_CYCLES

# Number of D-side only page walks
0C.01 PAGE_WALKS.D_SIDE_WALKS

# Duration of I-Side page walks
0C.02 PAGE_WALKS.I_SIDE_CYCLES

# Number of I-Side page walks
0C.02 PAGE_WALKS.I_SIDE_WALKS

# Duration of page-walks in core cycles
0C.03 PAGE_WALKS.CYCLES

# Number of page-walks executed.
0C.03 PAGE_WALKS.WALKS

# Floating point computational micro-ops executed.
10.01 X87_COMP_OPS_EXE.ANY.S

# FXCH uops executed.
10.02 X87_COMP_OPS_EXE.FXCH.S

# Floating point computational micro-ops retired.
10.81 X87_COMP_OPS_EXE.ANY.AR

# FXCH uops retired.
10.82 X87_COMP_OPS_EXE.FXCH.AR

# Floating point assists.
11.01 FP_ASSIST.S

# Floating point assists for retired operations.
11.81 FP_ASSIST.AR

# Multiply operations executed.
12.01 MUL.S

# Multiply operations retired
12.81 MUL.AR

# Divide operations executed.
13.01 DIV.S

# Divide operations retired
13.81 DIV.AR

# Cycles the divider is busy.
14.01 CYCLES_DIV_BUSY

# Cycles L2 address bus is in use.
21.40 L2_ADS.SELF

# Cycles the L2 cache data bus is busy.
22.40 L2_DBUS_BUSY.SELF

# Cycles the L2 transfers data to the core.
23.40 L2_DBUS_BUSY_RD.SELF

# L2 cache misses.
24.40 L2_LINES_IN.SELF.DEMAND

# L2 cache misses.
24.50 L2_LINES_IN.SELF.PREFETCH

# L2 cache misses.
24.70 L2_LINES_IN.SELF.ANY

# L2 cache line modifications.
25.40 L2_M_LINES_IN.SELF

# L2 cache lines evicted.
26.40 L2_LINES_OUT.SELF.DEMAND

# L2 cache lines evicted.
26.50 L2_LINES_OUT.SELF.PREFETCH

# L2 cache lines evicted.
