# Based on https://download.01.org/perfmon/SLM/Silvermont_core_V14.json
# Applies to processors with family-model in {6-37, 6-4D, 6-4C}

# Loads blocked due to store forward restriction
03.01 REHABQ.LD_BLOCK_ST_FORWARD

# Loads blocked due to store data not ready
03.02 REHABQ.LD_BLOCK_STD_NOTREADY

# Store uops that split cache line boundary
03.04 REHABQ.ST_SPLITS

# Load uops that split cache line boundary
03.08 REHABQ.LD_SPLITS

# Uops with lock semantics
03.10 REHABQ.LOCK

# Store address buffer full
03.20 REHABQ.STA_FULL

# Any reissued load uops
03.40 REHABQ.ANY_LD

# Any reissued store uops
03.80 REHABQ.ANY_ST

# Loads missed L1
04.01 MEM_UOPS_RETIRED.L1_MISS_LOADS

# Loads hit L2
04.02 MEM_UOPS_RETIRED.L2_HIT_LOADS

# Loads missed L2
04.04 MEM_UOPS_RETIRED.L2_MISS_LOADS

# Loads missed DTLB
04.08 MEM_UOPS_RETIRED.DTLB_MISS_LOADS

# Loads missed UTLB
04.10 MEM_UOPS_RETIRED.UTLB_MISS

# Cross core or cross module hitm
04.20 MEM_UOPS_RETIRED.HITM

# All Loads
04.40 MEM_UOPS_RETIRED.ALL_LOADS

# All Stores
04.80 MEM_UOPS_RETIRED.ALL_STORES

# Duration of D-side page-walks in core cycles
05.01 PAGE_WALKS.D_SIDE_CYCLES

# D-side page-walks
05.01.EDG PAGE_WALKS.D_SIDE_WALKS

# Duration of I-side page-walks in core cycles
05.02 PAGE_WALKS.I_SIDE_CYCLES

# I-side page-walks
05.02.EDG PAGE_WALKS.I_SIDE_WALKS

# Total cycles for all the page walks. (I-side and D-side)
05.03 PAGE_WALKS.CYCLES

# Total page walks that are completed (I-side and D-side)
05.03.EDG PAGE_WALKS.WALKS

# L2 cache request misses
2E.41 LONGEST_LAT_CACHE.MISS

# L2 cache requests from this core
2E.4F LONGEST_LAT_CACHE.REFERENCE

# Counts the number of request from the L2 that were not accepted into the XQ
30.00 L2_REJECT_XQ.ALL

# Counts the number of request that were not accepted into the L2Q because the L2Q is FULL.
31.00 CORE_REJECT_L2Q.ALL

# Core cycles when core is not halted
3C.00 CPU_CLK_UNHALTED.CORE_P

# Reference cycles when core is not halted
