# Based on https://download.01.org/perfmon/TGL/tigerlake_core_v1.05.json
# Applies to processors with family-model in {6-8C, 6-8D}

# Loads blocked due to overlapping with a preceding store that cannot be forwarded.
03.02 LD_BLOCKS.STORE_FORWARD

# The number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use.
03.08 LD_BLOCKS.NO_SR

# False dependencies in MOB due to partial compare on address.
07.01 LD_BLOCKS_PARTIAL.ADDRESS_ALIAS

# Page walks completed due to a demand data load to a 4K page.
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED_4K

# Page walks completed due to a demand data load to a 2M/4M page.
08.04 DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M

# Load miss in all TLB levels causes a page walk that completes. (All page sizes)
08.0E DTLB_LOAD_MISSES.WALK_COMPLETED

# Number of page walks outstanding for a demand load in the PMH each cycle.
08.10 DTLB_LOAD_MISSES.WALK_PENDING

# Cycles when at least one PMH is busy with a page walk for a demand load.
08.10.CMSK=1 DTLB_LOAD_MISSES.WALK_ACTIVE

# Loads that miss the DTLB and hit the STLB.
08.20 DTLB_LOAD_MISSES.STLB_HIT

# Core cycles the allocator was stalled due to recovery from earlier clear event for this thread
0D.01 INT_MISC.RECOVERY_CYCLES

# Cycles the Backend cluster is recovering after a miss-speculation or a Store Buffer or Load Buffer drain stall.
0D.03.CMSK=1 INT_MISC.ALL_RECOVERY_CYCLES

# TMA slots where uops got dropped
0D.10 INT_MISC.UOP_DROPPING

# Counts cycles after recovery from a branch misprediction or machine clear till the first uop is issued from the resteered path.
0D.80 INT_MISC.CLEAR_RESTEER_CYCLES

# Uops that RAT issues to RS
0E.01 UOPS_ISSUED.ANY

# Cycles when RAT does not issue Uops to RS for the thread
0E.01.CMSK=1.INV UOPS_ISSUED.STALL_CYCLES

# Uops inserted at issue-stage in order to preserve upper bits of vector registers.
0E.02 UOPS_ISSUED.VECTOR_WIDTH_MISMATCH

# Cycles when divide unit is busy executing divide or square root operations.
14.09.CMSK=1 ARITH.DIVIDER_ACTIVE

# RFO requests that miss L2 cache
24.22 L2_RQSTS.RFO_MISS

# L2 cache misses when fetching instructions
24.24 L2_RQSTS.CODE_RD_MISS

# SW prefetch requests that miss L2 cache.
24.28 L2_RQSTS.SWPF_MISS

# All requests that miss L2 cache
24.3F L2_RQSTS.MISS

# RFO requests that hit L2 cache
24.C2 L2_RQSTS.RFO_HIT

# L2 cache hits when fetching instructions, code reads.
24.C4 L2_RQSTS.CODE_RD_HIT

# SW prefetch requests that hit L2 cache.
24.C8 L2_RQSTS.SWPF_HIT

# RFO requests to L2 cache
24.E2 L2_RQSTS.ALL_RFO

# L2 code requests
24.E4 L2_RQSTS.ALL_CODE_RD

# Core cycles where the core was running in a manner where Turbo may be clipped to the Non-AVX turbo schedule.
28.07 CORE_POWER.LVL0_TURBO_LICENSE

# Core cycles where the core was running in a manner where Turbo may be clipped to the AVX2 turbo schedule.
28.18 CORE_POWER.LVL1_TURBO_LICENSE

# Core cycles where the core was running in a manner where Turbo may be clipped to the AVX512 turbo schedule.
28.20 CORE_POWER.LVL2_TURBO_LICENSE

# Number of PREFETCHNTA instructions executed.
32.01 SW_PREFETCH_ACCESS.NTA

# Number of PREFETCHT0 instructions executed.
32.02 SW_PREFETCH_ACCESS.T0

# Number of PREFETCHT1 or PREFETCHT2 instructions executed.
32.04 SW_PREFETCH_ACCESS.T1_T2

# Number of PREFETCHW instructions executed.
32.08 SW_PREFETCH_ACCESS.PREFETCHW

# Thread cycles when thread is not in halt state
3C.00 CPU_CLK_UNHALTED.THREAD_P

# Core crystal clock cycles when the thread is unhalted.
3C.01 CPU_CLK_UNHALTED.REF_XCLK

# Core crystal clock cycles when this thread is unhalted and the other thread is halted.
3C.02 CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE

# Core crystal clock cycles. Cycle counts are evenly distributed between active threads in the Core.
3C.08 CPU_CLK_UNHALTED.REF_DISTRIBUTED

# Number of L1D misses that are outstanding
48.01 L1D_PEND_MISS.PENDING

# Cycles with L1D load Misses outstanding.
48.01.CMSK=1 L1D_PEND_MISS.PENDING_CYCLES

# Number of cycles a demand request has waited due to L1D Fill Buffer (FB) unavailability.
48.02 L1D_PEND_MISS.FB_FULL

# Number of phases a demand request has waited due to L1D Fill Buffer (FB) unavailablability.
48.02.CMSK=1.EDG L1D_PEND_MISS.FB_FULL_PERIODS

# Number of cycles a demand request has waited due to L1D due to lack of L2 resources.
48.04 L1D_PEND_MISS.L2_STALL

# Page walks completed due to a demand data store to a 4K page.
49.02 DTLB_STORE_MISSES.WALK_COMPLETED_4K

# Page walks completed due to a demand data store to a 2M/4M page.
49.04 DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M

# Store misses in all TLB levels causes a page walk that completes. (All page sizes)
49.0E DTLB_STORE_MISSES.WALK_COMPLETED

# Number of page walks outstanding for a store in the PMH each cycle.
49.10 DTLB_STORE_MISSES.WALK_PENDING

# Cycles when at least one PMH is busy with a page walk for a store.
49.10.CMSK=1 DTLB_STORE_MISSES.WALK_ACTIVE

# Stores that miss the DTLB and hit the STLB.
49.20 DTLB_STORE_MISSES.STLB_HIT

# Counts the number of demand load dispatches that hit L1D fill buffer (FB) allocated for software prefetch.
4C.01 LOAD_HIT_PREFETCH.SWPF

# Counts the number of cache lines replaced in L1 data cache.
51.01 L1D.REPLACEMENT

# Number of times a transactional abort was signaled due to a data conflict on a transactionally accessed address
54.01 TX_MEM.ABORT_CONFLICT

# Speculatively counts the number of TSX aborts due to a data capacity limitation for transactional writes.
54.02 TX_MEM.ABORT_CAPACITY_WRITE

# Speculatively counts the number of TSX aborts due to a data capacity limitation for transactional reads
54.80 TX_MEM.ABORT_CAPACITY_READ

# Number of uops decoded out of instructions exclusively fetched by decoder 0
56.01 UOPS_DECODED.DEC0

# Counts the number of times a class of instructions that may cause a transactional abort was executed inside a transactional region
5D.02 TX_EXEC.MISC2

# Number of times an instruction execution caused the transactional nest count supported to be exceeded
5D.04 TX_EXEC.MISC3

# Cycles when Reservation Station (RS) is empty for the thread
5E.01 RS_EVENTS.EMPTY_CYCLES

# Counts end of periods where the Reservation Station (RS) was empty.
5E.01.CMSK=1.EDG.INV RS_EVENTS.EMPTY_END

# Demand Data Read transactions pending for off-core. Highly correlated.
60.01 OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD

# Cycles when offcore outstanding Demand Data Read transactions are present in SuperQueue (SQ), queue to uncore
60.01.CMSK=1 OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD

# Cycles with at least 6 offcore outstanding Demand Data Read transactions in uncore queue.
60.01.CMSK=6 OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD_GE_6

# Store Read transactions pending for off-core. Highly correlated.
60.04 OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO

# Cycles with offcore outstanding demand rfo reads transactions in SuperQueue (SQ), queue to uncore.
60.04.CMSK=1 OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO

# Offcore outstanding cacheable Core Data Read transactions in SuperQueue (SQ), queue to uncore
60.08 OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD

# Cycles when offcore outstanding cacheable Core Data Read transactions are present in SuperQueue (SQ), queue to uncore.
60.08.CMSK=1 OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD

# Cycles when L1D is locked
63.02 LOCK_CYCLES.CACHE_LOCK_DURATION

# Uops delivered to Instruction Decode Queue (IDQ) from MITE path
79.04 IDQ.MITE_UOPS

# Cycles MITE is delivering any Uop
79.04.CMSK=1 IDQ.MITE_CYCLES_ANY

# Cycles MITE is delivering optimal number of Uops
79.04.CMSK=5 IDQ.MITE_CYCLES_OK

# Uops delivered to Instruction Decode Queue (IDQ) from the Decode Stream Buffer (DSB) path
