# Based on https://download.01.org/perfmon/SNB/sandybridge_core_v16.json
# Applies to processors with family-model in {6-2A}

# Loads delayed due to SB blocks, preceding store operations with known addresses but unknown data.
03.01 LD_BLOCKS.DATA_UNKNOWN

# Cases when loads get true Block-on-Store blocking code preventing store forwarding.
03.02 LD_BLOCKS.STORE_FORWARD

# This event counts the number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use.
03.08 LD_BLOCKS.NO_SR

# Number of cases where any load ends up with a valid block-code written to the load buffer (including blocks due to Memory Order Buffer (MOB), Data Cache Unit (DCU), TLB, but load has no DCU miss).
03.10 LD_BLOCKS.ALL_BLOCK

# Speculative cache line split load uops dispatched to L1 cache.
05.01 MISALIGN_MEM_REF.LOADS

# Speculative cache line split STA uops dispatched to L1 cache.
05.02 MISALIGN_MEM_REF.STORES

# False dependencies in MOB due to partial compare.
07.01 LD_BLOCKS_PARTIAL.ADDRESS_ALIAS

# This event counts the number of times that load operations are temporarily blocked because of older stores, with addresses that are not yet known. A load operation may incur more than one block of this type.
07.08 LD_BLOCKS_PARTIAL.ALL_STA_BLOCK

# Load misses in all DTLB levels that cause page walks.
08.01 DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK

# Load misses at all DTLB levels that cause completed page walks.
08.02 DTLB_LOAD_MISSES.WALK_COMPLETED

# Cycles when PMH is busy with page walks.
08.04 DTLB_LOAD_MISSES.WALK_DURATION

# Load operations that miss the first DTLB level but hit the second and do not cause page walks.
08.10 DTLB_LOAD_MISSES.STLB_HIT

# Number of cycles waiting for the checkpoints in Resource Allocation Table (RAT) to be recovered after Nuke due to all other cases except JEClear (e.g. whenever a ucode assist is needed like SSE exception, memory disambiguation, etc...).
0D.03.CMSK=1 INT_MISC.RECOVERY_CYCLES

# Core cycles the allocator was stalled due to recovery from earlier clear event for any thread running on the physical core (e.g. misprediction or memory nuke).
0D.03.CMSK=1.AnyT INT_MISC.RECOVERY_CYCLES_ANY

# Number of occurences waiting for the checkpoints in Resource Allocation Table (RAT) to be recovered after Nuke due to all other cases except JEClear (e.g. whenever a ucode assist is needed like SSE exception, memory disambiguation, etc...).
0D.03.CMSK=1.EDG INT_MISC.RECOVERY_STALLS_COUNT

# Cycles when Resource Allocation Table (RAT) external stall is sent to Instruction Decode Queue (IDQ) for the thread.
0D.40 INT_MISC.RAT_STALL_CYCLES

# Uops that Resource Allocation Table (RAT) issues to Reservation Station (RS).
0E.01 UOPS_ISSUED.ANY

